Situation Number,Phase,NextPhase,Situation Name,ACT,Situation Description,Required Context,Given Context,Removed Context,Outcome
11,REACTION,REVEAL,Get Up and Investigate,Leave the warmth of the fire and search for the source of the disturbance.,You leave the warmth of the fire and search for the source of the disturbance.,"CAMP, UNKNOWN_SOURCE",INVESTIGATING,-,-
12,REACTION,REVEAL,Wait and Listen,Remain still and focus on every sound around the camp.,You remain still and focus on every sound around the camp.,"CAMP, UNKNOWN_SOURCE",LISTENING,-,-
13,REACTION,REVEAL,Grab a Torch,Light a torch and sweep its light across the surrounding darkness.,You light a torch and sweep its light across the surrounding darkness.,"NIGHT, UNKNOWN_SOURCE","OBSERVING, TORCH_LIT",-,-
14,REACTION,REVEAL,Inspect the Ground,"Check the ground around camp for tracks, disturbed soil, or dropped objects.","You check the ground around camp for tracks, disturbed soil, or dropped objects.","CAMP, UNKNOWN_SOURCE",TRACK_SEARCH,-,-
15,REACTION,REVEAL,Call Out into the Darkness,Ask whether anyone is there and wait for an answer.,You ask whether anyone is there and wait for an answer.,UNKNOWN_SOURCE,CALLED_OUT,-,-
16,REACTION,REVEAL,Circle Around the Camp,Quietly approach the disturbance from another direction.,You quietly approach the disturbance from another direction.,"CAMP, UNKNOWN_SOURCE, MOVEMENT_HEARD","FLANKING, INVESTIGATING",-,-
17,REACTION,REVEAL,Stay Beside the Fire,Remain in the light and wait to see whether the disturbance comes closer.,You remain in the light and wait to see whether the disturbance comes closer.,"CAMP, NIGHT, UNKNOWN_SOURCE",WAITING_AT_FIRE,-,-
18,REACTION,REVEAL,Prepare for Trouble,Ready yourself for a possible threat before doing anything else.,You ready yourself for a possible threat before doing anything else.,"CAMP, UNKNOWN_SOURCE","DEFENSIVE, LISTENING",-,-
19,REACTION,REVEAL,Follow the Movement,Move cautiously toward where you last heard the movement.,You move cautiously toward where you last heard the movement.,"MOVEMENT_HEARD, UNKNOWN_SOURCE","FOLLOWING_MOVEMENT, INVESTIGATING",-,-
20,REACTION,REVEAL,Search the Tree Line,Inspect the trees and bushes for whatever caused the disturbance.,You inspect the trees and bushes for whatever caused the disturbance.,"FOREST_NEARBY, UNKNOWN_SOURCE","INVESTIGATING, TREE_LINE_SEARCH",-,-
21,REACTION,REVEAL,Call Back to the Voice,Call toward the voice and ask the person to answer clearly.,You call toward the voice and ask the person to answer clearly.,"UNKNOWN_SOURCE, VOICE_HEARD","CALLED_OUT, VOICE_CONTACT_ATTEMPT",-,-
22,REACTION,REVEAL,Move Toward the Cry,Leave the fire and carefully move toward where the cry came from.,You leave the fire and carefully move toward where the cry came from.,"DISTRESS_POSSIBLE, VOICE_HEARD","APPROACHING_VOICE, INVESTIGATING",-,-
23,REACTION,REVEAL,Wait for Another Cry,Remain still and listen for the person to call again.,You remain still and listen for the person to call again.,VOICE_HEARD,LISTENING_FOR_VOICE,-,-
24,REACTION,REVEAL,Offer Help from a Distance,"Call out that you can help, but ask the unseen person to approach slowly.","You call out that you can help, but ask the unseen person to approach slowly.",VOICE_HEARD,"CALLED_OUT, HELP_OFFERED",-,-
25,REACTION,REVEAL,Follow the Footsteps,Move after the footsteps before they can disappear into the night.,You move after the footsteps before they can disappear into the night.,"FOOTSTEPS_HEARD, UNKNOWN_SOURCE","FOLLOWING_FOOTSTEPS, INVESTIGATING",-,-
26,REACTION,REVEAL,Wait for the Footsteps to Return,Stay still and listen for the footsteps to move again.,You stay still and listen for the footsteps to move again.,FOOTSTEPS_HEARD,LISTENING_FOR_FOOTSTEPS,-,-
27,REACTION,REVEAL,Challenge Whoever Is Approaching,Warn the unseen person that you are awake and prepared.,You warn the unseen person that you are awake and prepared.,FOOTSTEPS_HEARD,"CALLED_OUT, DEFENSIVE",-,-
28,REACTION,REVEAL,Listen to the Whispering,Remain quiet and try to make out what the voices are saying.,You remain quiet and try to make out what the voices are saying.,WHISPERS_HEARD,EAVESDROPPING,-,-
29,REACTION,REVEAL,Reveal That You Are Awake,Speak toward the whispering voices and tell them to show themselves.,You speak toward the whispering voices and tell them to show themselves.,WHISPERS_HEARD,"CALLED_OUT, DEFENSIVE",-,-
30,REACTION,REVEAL,Follow the Strange Light,Move cautiously toward the light while keeping your camp behind you.,You move cautiously toward the light while keeping your camp behind you.,"LIGHT_SEEN, UNKNOWN_SOURCE","FOLLOWING_LIGHT, INVESTIGATING",-,-
31,REACTION,REVEAL,Signal with Your Torch,Wave a torch toward the distant light to see whether someone responds.,You wave a torch toward the distant light to see whether someone responds.,"LIGHT_SEEN, NIGHT","SIGNALLED_LIGHT, TORCH_LIT",-,-
32,REACTION,REVEAL,Watch the Light from Camp,Stay beside the fire and observe the moving light without approaching.,You stay beside the fire and observe the moving light without approaching.,LIGHT_SEEN,OBSERVING_LIGHT,-,-
33,REACTION,REVEAL,Inspect the Cargo,Inspect the bags and crates to see what was moved.,You inspect the bags and crates to see what was moved.,"CARGO_DISTURBED, CARGO_PRESENT",CARGO_CHECK,-,-
34,REACTION,REVEAL,Guard the Supplies,Position yourself between the darkness and your cargo.,You position yourself between the darkness and your cargo.,"CARGO_DISTURBED, CARGO_PRESENT","CARGO_GUARDED, DEFENSIVE, OBSERVING_CARGO",-,-
35,REACTION,REVEAL,Pretend to Sleep,Lie still and watch the cargo from the corner of your eye.,You lie still and watch the cargo from the corner of your eye.,"CARGO_DISTURBED, CARGO_PRESENT","OBSERVING_CARGO, PRETENDING_SLEEP",-,-
36,REACTION,REVEAL,Check for Missing Goods,Quickly count your most valuable goods to see whether anything has disappeared.,You quickly count your most valuable goods to see whether anything has disappeared.,"CARGO_DISTURBED, CARGO_PRESENT",CARGO_INVENTORY_CHECK,-,-
37,REACTION,REVEAL,Use a Torch on the Cargo,Light the bags and crates clearly to expose anything hiding among them.,You light the bags and crates clearly to expose anything hiding among them.,"CARGO_PRESENT, NIGHT","CARGO_CHECK, TORCH_LIT",-,-
38,REACTION,REVEAL,Secure the Cargo First,Tighten the straps and close every exposed bag before searching for the cause.,You tighten the straps and close every exposed bag before searching for the cause.,"CARGO_DISTURBED, CARGO_PRESENT","CARGO_CHECK, CARGO_SECURED_TEMP, DEFENSIVE",-,-
39,REACTION,REVEAL,Listen for the Animal,"Remain still and listen for another cry, growl, or movement.","You remain still and listen for another cry, growl, or movement.",ANIMAL_SOUND,ANIMAL_LISTENING,-,-
40,REACTION,REVEAL,Raise a Torch Toward the Animal Sound,Lift a torch and search the darkness for eyes or movement.,You lift a torch and search the darkness for eyes or movement.,"ANIMAL_SOUND, NIGHT","ANIMAL_SEARCH, TORCH_LIT",-,-
41,REACTION,REVEAL,Make Noise to Scare It Away,Shout and strike your equipment together to frighten the animal away.,You shout and strike your equipment together to frighten the animal away.,ANIMAL_SOUND,ANIMAL_SCARE_ATTEMPT,-,-
42,REACTION,REVEAL,Place Food Away from Camp,Leave a small amount of food away from your supplies and step back.,You leave a small amount of food away from your supplies and step back.,"ANIMAL_SOUND, CAMP",ANIMAL_BAIT_SET,-,FOOD_1_LOSS
43,REACTION,REVEAL,Protect the Fire,Shield the weak embers from the wind and try to keep them alive.,You shield the weak embers from the wind and try to keep them alive.,FIRE_LOW,FIRE_PROTECTED,-,-
44,REACTION,REVEAL,Rebuild the Fire,Gather fuel and try to restore the dying fire.,You gather fuel and try to restore the dying fire.,FIRE_LOW,FIRE_REBUILD_ATTEMPT,-,-
45,REACTION,REVEAL,Inspect the Storm Damage,Step into the rain and inspect the campsite for damage.,You step into the rain and inspect the campsite for damage.,STORM_ACTIVE,STORM_INSPECTION,-,-
46,REACTION,REVEAL,Secure the Shelter,Tighten ropes and supports before the storm can tear the shelter apart.,You tighten ropes and supports before the storm can tear the shelter apart.,"SHELTER_PRESENT, STORM_ACTIVE",SHELTER_SECURE_ATTEMPT,-,-
47,REACTION,REVEAL,Protect the Cargo from Rain,Check the covers and move exposed goods away from the rain.,You check the covers and move exposed goods away from the rain.,"CARGO_PRESENT, STORM_ACTIVE",CARGO_RAIN_PROTECTION,-,-
48,REVEAL,RESPONSE,Fresh Human Footprints,Inspect another set of signs on the ground.,"Fresh human footprints cross the edge of the camp, confirming that the signs you noticed came from a person nearby.","TRACK_SEARCH, HUMAN_POSSIBLE","HUMAN_CONFIRMED, HUMAN_TRACKS",UNKNOWN_SOURCE,-
49,REVEAL,RESPONSE,Fresh Animal Tracks,Examine the tracks closely enough to identify what made them.,"Fresh animal tracks pass close to the fire and lead away into the darkness. They confirm that an animal was here recently, but there is no sign that it is still nearby.","TRACK_SEARCH, ANIMAL_SOUND",ANIMAL_TRACKS,UNKNOWN_SOURCE,-
50,REVEAL,RESPONSE,Fresh Blood Trail,Check the ground and surroundings carefully.,"Near the direction of the cry, drops of fresh blood form a trail leading away from the camp.","TRACK_SEARCH, DISTRESS_POSSIBLE",BLOOD_TRAIL,-,-
51,REVEAL,RESPONSE,Broken Branches Form a Trail,Search deeper along the edge of the trees.,Freshly broken branches form a rough trail away from the campsite.,TREE_LINE_SEARCH,TRAIL_FOUND,-,-
52,REVEAL,RESPONSE,A Hidden Figure,Continue toward the source of the disturbance.,"As you investigate, you briefly see a human-shaped figure moving between the trees, confirming that someone is nearby.","INVESTIGATING, HUMAN_POSSIBLE","HIDDEN_PERSON, HUMAN_CONFIRMED",UNKNOWN_SOURCE,-
53,REVEAL,RESPONSE,Eyes Beyond the Firelight,Keep watching the darkness for movement.,"Your light catches a pair of eyes beyond the firelight, confirming that an animal is watching the camp.","OBSERVING, ANIMAL_SOUND","ANIMAL_CONFIRMED, ANIMAL_WATCHING, ANIMAL_FEED_OPTION",UNKNOWN_SOURCE,-
54,REVEAL,RESPONSE,Nothing Obvious Is Found,Search the immediate area one more time before giving up.,"Your search reveals no clear tracks, person, or animal nearby.",INVESTIGATING,NO_SOURCE_FOUND,-,-
55,REVEAL,RESPONSE,Something Moves Near the Cargo,Watch the cargo from the safety of the fire.,A dark shape moves beside the supplies before slipping out of view.,"CARGO_PRESENT, WAITING_AT_FIRE",CARGO_INTRUSION_POSSIBLE,-,-
56,REVEAL,RESPONSE,The Movement Stops,Continue following where the movement went.,The movement stops completely as soon as you approach.,FOLLOWING_MOVEMENT,"NO_SOURCE_FOUND, SOURCE_FLED_POSSIBLE",-,-
57,REVEAL,RESPONSE,Someone Runs Away,Close in from the side and check the area.,"As you circle toward the last place you heard movement, a person suddenly breaks into a run and disappears into the darkness.","FLANKING, MOVEMENT_HEARD","HUMAN_CONFIRMED, PERSON_FLEEING",UNKNOWN_SOURCE,-
58,REVEAL,RESPONSE,Heavy Animal Breathing,Focus on the heavier sounds moving close to camp.,"Listening carefully, you pick out slow, heavy breathing behind the earlier animal sounds. A large animal is very close.","LISTENING, ANIMAL_SOUND","ANIMAL_CONFIRMED, LARGE_ANIMAL, ANIMAL_FEED_OPTION",UNKNOWN_SOURCE,-
59,REVEAL,RESPONSE,Quiet Human Footsteps,Keep listening until the pattern of the footsteps becomes clear.,The rhythm resolves into careful human footsteps moving around the edge of the camp.,"LISTENING, HUMAN_POSSIBLE","HUMAN_CONFIRMED, PERSON_NEARBY",UNKNOWN_SOURCE,-
60,REVEAL,RESPONSE,Two People Whispering,Check the ground and surroundings carefully.,"As you listen, the whispering separates into two distinct voices speaking quietly just outside the firelight.","LISTENING, WHISPERS_HEARD","HUMAN_CONFIRMED, MULTIPLE_PEOPLE",UNKNOWN_SOURCE,-
61,REVEAL,RESPONSE,Cargo Being Moved,Focus on the sounds around the cargo.,You hear a bag scrape across the ground beside your supplies.,"CARGO_PRESENT, LISTENING",CARGO_INTRUSION_POSSIBLE,-,-
62,REVEAL,RESPONSE,The Night Falls Silent,Stay completely still and wait for the disturbance to repeat.,The disturbance disappears and nothing else moves or calls out.,LISTENING,"NO_SOURCE_FOUND, SILENCE",-,-
63,REVEAL,RESPONSE,A Frightened Traveller Answers,Wait and listen for a response to your call.,A frightened traveller answers your call and asks whether it is safe to approach.,"CALLED_OUT, VOICE_HEARD","FRIGHTENED_TRAVELLER, HUMAN_CONFIRMED, TRAVELLER_PRESENT",UNKNOWN_SOURCE,-
64,REVEAL,RESPONSE,A Warning from the Darkness,Wait for the voice in the darkness to answer your challenge.,A tense human voice answers from the darkness and tells you not to come any closer.,"CALLED_OUT, HUMAN_POSSIBLE","HOSTILE_WARNING, HUMAN_CONFIRMED",UNKNOWN_SOURCE,-
65,REVEAL,RESPONSE,No One Answers,Call once more and watch for a reaction.,"Your call receives no answer, although you still sense movement nearby.","CALLED_OUT, UNKNOWN_SOURCE",NO_ANSWER,-,-
66,REVEAL,RESPONSE,Someone Knows Your Name,Check the ground and surroundings carefully.,A stranger hidden in the darkness answers your call by using your name before you have introduced yourself.,"CALLED_OUT, HUMAN_POSSIBLE","HUMAN_CONFIRMED, STRANGER_KNOWS_NAME",UNKNOWN_SOURCE,-
67,REVEAL,RESPONSE,An Animal Growls Back,Hold position and listen for the animal's response.,A low growl answers your voice from beyond the firelight.,"ANIMAL_SOUND, CALLED_OUT","ANIMAL_CONFIRMED, LARGE_ANIMAL, ANIMAL_FEED_OPTION",UNKNOWN_SOURCE,-
68,REVEAL,RESPONSE,A Wounded Traveller Is Found,Approach the voice directly and identify who is calling.,You find a wounded traveller sitting against a tree and struggling to stay conscious.,APPROACHING_VOICE,"HUMAN_CONFIRMED, TRAVELLER_PRESENT, WOUNDED_TRAVELLER",UNKNOWN_SOURCE,-
69,REVEAL,RESPONSE,A Lost Merchant Is Found,Move close enough to identify the person calling for help.,A tired merchant steps into view and admits they became lost after nightfall.,APPROACHING_VOICE,"HUMAN_CONFIRMED, MERCHANT_PRESENT, TRAVELLER_PRESENT",UNKNOWN_SOURCE,-
70,REVEAL,RESPONSE,A Suspicious Stranger Waits Ahead,Check the ground and surroundings carefully.,A lone stranger stands off the road and gives no clear reason for being there.,APPROACHING_VOICE,"HUMAN_CONFIRMED, SUSPICIOUS_STRANGER",UNKNOWN_SOURCE,-
71,REVEAL,RESPONSE,The Cry Leads to Abandoned Belongings,Search the area around the voice before stepping closer.,"You find a pack and scattered belongings, but no person nearby.",APPROACHING_VOICE,"ABANDONED_BELONGINGS, MISSING_PERSON_POSSIBLE",-,-
72,REVEAL,RESPONSE,Another Weak Cry Comes from Nearby,Stay quiet and listen for another cry.,"The person calls again, much closer and noticeably weaker.",LISTENING_FOR_VOICE,"DISTRESS_CONFIRMED, VOICE_LOCATED",-,-
73,REVEAL,RESPONSE,A Traveller Steps into View,Wait and listen for the footsteps again.,A lone traveller slowly steps into the firelight with empty hands.,LISTENING_FOR_FOOTSTEPS,"HUMAN_CONFIRMED, TRAVELLER_PRESENT",UNKNOWN_SOURCE,-
74,REVEAL,RESPONSE,An Armed Stranger Is Waiting,Keep following the footsteps carefully.,The footsteps belong to an armed stranger standing just outside the light.,FOLLOWING_FOOTSTEPS,"ARMED_STRANGER, HUMAN_CONFIRMED",UNKNOWN_SOURCE,-
75,REVEAL,RESPONSE,The Footsteps Lead to a Thief,Follow the footsteps until you can see who is moving around the camp.,"You catch a person moving quietly near the edge of your camp, clearly trying not to be seen.",FOLLOWING_FOOTSTEPS,"HUMAN_CONFIRMED, THEFT_THREAT, THIEF_PRESENT",UNKNOWN_SOURCE,-
76,REVEAL,RESPONSE,The Whisperers Are Watching Your Camp,Keep listening without revealing yourself.,You realize the strangers are discussing your campsite and deciding whether to approach.,EAVESDROPPING,"HUMAN_CONFIRMED, MULTIPLE_PEOPLE, SUSPICIOUS_GROUP",UNKNOWN_SOURCE,-
77,REVEAL,RESPONSE,The Whisperers Are Lost Travellers,Keep listening without revealing yourself until the travellers' intent becomes clearer.,The voices belong to travellers arguing quietly about which road to take.,EAVESDROPPING,"HUMAN_CONFIRMED, LOST_TRAVELLERS, TRAVELLERS_PRESENT, TRAVELLER_PRESENT",UNKNOWN_SOURCE,-
78,REVEAL,RESPONSE,A Recently Extinguished Lantern,Follow the light a little farther.,You find a lantern that appears to have been extinguished only moments ago.,FOLLOWING_LIGHT,"HUMAN_POSSIBLE, LANTERN_FOUND",-,-
79,REVEAL,RESPONSE,The Light Belongs to a Traveller,Follow the moving light until you can see who is carrying it.,The moving light is carried by a traveller searching for the road.,FOLLOWING_LIGHT,"HUMAN_CONFIRMED, LOST_TRAVELLER, TRAVELLER_PRESENT",UNKNOWN_SOURCE,-
80,REVEAL,RESPONSE,The Light Disappears,Check the ground and surroundings carefully.,The strange light vanishes the moment you get close enough to investigate.,FOLLOWING_LIGHT,"LIGHT_VANISHED, NO_SOURCE_FOUND",-,-
81,REVEAL,RESPONSE,A Signal Is Returned,Watch for an answer to your signal.,A distant light answers your torch signal with two deliberate flashes.,SIGNALLED_LIGHT,"HUMAN_POSSIBLE, LIGHT_SIGNAL_RETURNED",-,-
82,REVEAL,RESPONSE,The Light Never Moves Again,Keep the distant light under observation.,"After several minutes of watching, the light remains fixed and then fades.",OBSERVING_LIGHT,"LIGHT_VANISHED, NO_SOURCE_FOUND",-,-
83,REVEAL,RESPONSE,A Thief Is Searching the Bags,Open the disturbed bags and inspect them immediately.,You catch a stranger quietly opening one of your bags.,CARGO_CHECK,"HUMAN_CONFIRMED, THEFT_CONFIRMED, THIEF_PRESENT",UNKNOWN_SOURCE,-
84,REVEAL,RESPONSE,A Thief Runs with Stolen Goods,Check the cargo item by item.,A figure runs from the camp carrying something taken from your supplies.,CARGO_INVENTORY_CHECK,"CARGO_MISSING, HUMAN_CONFIRMED, PERSON_FLEEING, THIEF_PRESENT",UNKNOWN_SOURCE,-
85,REVEAL,RESPONSE,An Animal Is Inside the Cargo,Inspect the disturbed cargo closely enough to find what is inside it.,An animal is rummaging between the bags in search of food.,CARGO_CHECK,"ANIMAL_IN_CARGO, ANIMAL_CONFIRMED, ANIMAL_FEED_OPTION",UNKNOWN_SOURCE,-
86,REVEAL,RESPONSE,A Cargo Bag Has Been Cut,Check the ground and surroundings carefully.,One of your bags has been cut open cleanly along the side.,CARGO_CHECK,"CARGO_DAMAGED, THEFT_POSSIBLE",-,-
87,REVEAL,RESPONSE,Some Goods Are Missing,Finish checking the cargo inventory and confirm what is missing.,Your count confirms that part of your cargo is gone.,CARGO_INVENTORY_CHECK,CARGO_MISSING,-,-
88,REVEAL,RESPONSE,A Loose Strap Caused the Noise,Check the straps and lashings before searching farther.,A cargo strap has come loose and several items have shifted.,CARGO_CHECK,"CARGO_LOOSE, NO_THREAT_FOUND",UNKNOWN_SOURCE,-
89,REVEAL,RESPONSE,A Stranger Is Watching the Cargo,Keep watch over the cargo without moving.,A person stands beyond the light and appears focused on your supplies.,OBSERVING_CARGO,"HUMAN_CONFIRMED, SUSPICIOUS_STRANGER, THEFT_THREAT",UNKNOWN_SOURCE,-
90,REVEAL,RESPONSE,The Intruder Approaches While You Pretend to Sleep,Remain still and wait for the intruder to act.,"A person quietly approaches the cargo, believing you are still asleep.",PRETENDING_SLEEP,"HUMAN_CONFIRMED, THEFT_CONFIRMED, THIEF_PRESENT",UNKNOWN_SOURCE,-
91,REVEAL,RESPONSE,A Fox Approaches the Food,Watch the bait from a safe distance.,A fox cautiously approaches the food and keeps glancing toward the camp.,ANIMAL_BAIT_SET,"ANIMAL_CONFIRMED, SMALL_ANIMAL",UNKNOWN_SOURCE,-
92,REVEAL,RESPONSE,A Wolf Watches from the Darkness,Search the darkness for the animal.,A wolf stands just beyond the firelight and watches without approaching.,ANIMAL_SEARCH,"WOLF_PRESENT, ANIMAL_CONFIRMED, LARGE_ANIMAL, ANIMAL_FEED_OPTION",UNKNOWN_SOURCE,-
93,REVEAL,RESPONSE,Several Wolves Circle the Camp,Listen carefully for the animal's position.,More than one pair of eyes moves around the camp outside the firelight.,ANIMAL_LISTENING,"ANIMAL_CONFIRMED, LARGE_ANIMAL, WOLF_PACK, ANIMAL_FEED_OPTION",UNKNOWN_SOURCE,-
94,REVEAL,RESPONSE,An Injured Animal Is Nearby,Approach the injured animal carefully enough to judge its condition.,You find an injured animal struggling to move near the edge of camp.,ANIMAL_SEARCH,"ANIMAL_CONFIRMED, INJURED_ANIMAL, ANIMAL_FEED_OPTION",UNKNOWN_SOURCE,-
95,REVEAL,RESPONSE,The Animal Retreats from Your Noise,Hold your ground and see how the animal reacts.,The animal moves farther away after hearing your attempt to scare it.,ANIMAL_SCARE_ATTEMPT,"ANIMAL_CONFIRMED, ANIMAL_RETREATING, ANIMAL_FEED_OPTION",UNKNOWN_SOURCE,-
96,REVEAL,RESPONSE,The Embers Can Still Be Saved,Check whether the embers can still be saved.,"Beneath the ash, enough heat remains to rebuild the fire.",FIRE_PROTECTED,EMBERS_USABLE,-,-
97,REVEAL,RESPONSE,The Firewood Is Too Wet,Inspect the fuel and try to restore the fire.,Most of the exposed firewood is soaked and difficult to use.,FIRE_REBUILD_ATTEMPT,FIREWOOD_WET,-,-
98,REVEAL,RESPONSE,A Shelter Rope Has Snapped,Inspect another part of the camp for storm damage.,One of the shelter ropes has broken and part of the cover is collapsing.,STORM_INSPECTION,SHELTER_DAMAGED,-,-
99,REVEAL,RESPONSE,Water Is Reaching the Cargo,Inspect the nearest signs more closely.,Rainwater is beginning to soak through the protection around your supplies.,"CARGO_PRESENT, STORM_INSPECTION",CARGO_WET_RISK,-,-
100,REVEAL,RESPONSE,The Ground Is Beginning to Flood,Check how quickly the water is rising around the campsite.,Water collects around the campsite faster than it can drain away.,STORM_INSPECTION,FLOODING_RISK,-,-
101,REVEAL,RESPONSE,The Shelter Holds for Now,Check whether the shelter will hold.,The reinforced shelter bends in the wind but remains stable.,SHELTER_SECURE_ATTEMPT,"SHELTER_STABLE, NO_IMMEDIATE_THREAT",-,-
102,REVEAL,RESPONSE,The Cargo Cover Is Tearing,Inspect the covered cargo as the rain worsens.,A section of the cargo cover tears and exposes goods to the rain.,CARGO_RAIN_PROTECTION,"CARGO_COVER_TORN, CARGO_WET_RISK",-,-
103,RESPONSE,RESOLUTION,Help the Wounded Traveller,Approach the wounded traveller and help with their immediate injuries.,You approach the wounded traveller and help with their immediate injuries.,WOUNDED_TRAVELLER,TRAVELLER_HELPED,-,-
104,RESPONSE,RESOLUTION,Question the Wounded Traveller,Ask what happened before deciding how far you are willing to help.,"You offer the wounded traveller a few coins to help cover basic supplies, then ask what happened before deciding how far you are willing to help.",WOUNDED_TRAVELLER,TRAVELLER_QUESTIONED,-,COINS_SMALL_LOSS
105,RESPONSE,RESOLUTION,Invite the Traveller to the Fire,Allow the traveller to approach and warm themselves beside the fire.,You allow the traveller to approach and warm themselves beside the fire.,TRAVELLER_PRESENT,TRAVELLER_INVITED,-,-
106,RESPONSE,RESOLUTION,Question the Traveller,"Ask who they are, where they came from, and why they are travelling at night.","You ask who they are, where they came from, and offer a few coins in exchange for useful information about the road ahead.",TRAVELLER_PRESENT,TRAVELLER_QUESTIONED,-,COINS_SMALL_LOSS
107,RESPONSE,RESOLUTION,Send the Traveller Away,Decide not to risk sharing the camp and tell the traveller to continue on.,You decide not to risk sharing the camp and tell the traveller to continue on.,TRAVELLER_PRESENT,TRAVELLER_SENT_AWAY,-,-
108,RESPONSE,RESOLUTION,Help the Lost Merchant Find the Road,Give the merchant directions toward the safest route you know.,You give the merchant directions toward the safest route you know.,MERCHANT_PRESENT,MERCHANT_DIRECTED,-,-
109,RESPONSE,RESOLUTION,Question the Suspicious Stranger,Keep your distance and demand a clear explanation for their presence.,You keep your distance and demand a clear explanation for their presence.,SUSPICIOUS_STRANGER,STRANGER_QUESTIONED,-,-
110,RESPONSE,RESOLUTION,Warn the Suspicious Stranger Away,Make it clear that the stranger is not welcome near your camp.,You make it clear that the stranger is not welcome near your camp.,SUSPICIOUS_STRANGER,STRANGER_WARNED,-,-
111,RESPONSE,RESOLUTION,Confront the Armed Stranger,Take a defensive position and demand that the armed stranger stop approaching.,You take a defensive position and demand that the armed stranger stop approaching.,ARMED_STRANGER,ARMED_CONFRONTATION,-,-
112,RESPONSE,RESOLUTION,Stay Hidden and Observe the Strangers,Remain concealed and watch the people outside your camp for a little longer.,You remain concealed and watch the people outside your camp for a little longer.,MULTIPLE_PEOPLE,STRANGERS_OBSERVED,-,-
113,RESPONSE,RESOLUTION,Approach the Person Calling for Help,Move toward the weak voice while watching carefully for danger.,You move toward the weak voice while watching carefully for danger.,"DISTRESS_CONFIRMED, VOICE_LOCATED",DISTRESS_APPROACHED,-,-
114,RESPONSE,RESOLUTION,Search the Abandoned Belongings,Inspect the abandoned belongings for clues about the missing owner.,You inspect the abandoned belongings for clues about the missing owner.,ABANDONED_BELONGINGS,BELONGINGS_SEARCHED,-,-
115,RESPONSE,RESOLUTION,Follow the Human Footprints,Follow the human tracks far enough to learn where they lead.,You follow the human tracks far enough to learn where they lead.,HUMAN_TRACKS,HUMAN_TRACKS_FOLLOWED,-,TIME_1H_LOSS
