Situation Number,Phase,NextPhase,Situation Name,Situation Description,Required Context,Given Context,Removed Context
86,REVEAL,RESPONSE,A Cargo Bag Has Been Cut,One of your bags has been cut open cleanly along the side.,CARGO_CHECK,"CARGO_DAMAGED, THEFT_POSSIBLE",-
87,REVEAL,RESPONSE,Some Goods Are Missing,Your count confirms that part of your cargo is gone.,CARGO_INVENTORY_CHECK,CARGO_MISSING,-
88,REVEAL,RESPONSE,A Loose Strap Caused the Noise,A cargo strap has come loose and several items have shifted.,CARGO_CHECK,"CARGO_LOOSE, NO_THREAT_FOUND",UNKNOWN_SOURCE
89,REVEAL,RESPONSE,A Stranger Is Watching the Cargo,A person stands beyond the light and appears focused on your supplies.,OBSERVING_CARGO,"HUMAN_CONFIRMED, SUSPICIOUS_STRANGER, THEFT_THREAT",UNKNOWN_SOURCE
90,REVEAL,RESPONSE,The Intruder Approaches While You Pretend to Sleep,"A person quietly approaches the cargo, believing you are still asleep.",PRETENDING_SLEEP,"HUMAN_CONFIRMED, THEFT_CONFIRMED, THIEF_PRESENT",UNKNOWN_SOURCE
91,REVEAL,RESPONSE,A Fox Approaches the Food,A fox cautiously approaches the food and keeps glancing toward the camp.,ANIMAL_BAIT_SET,"ANIMAL_CONFIRMED, SMALL_ANIMAL",UNKNOWN_SOURCE
92,REVEAL,RESPONSE,A Wolf Watches from the Darkness,A wolf stands just beyond the firelight and watches without approaching.,ANIMAL_SEARCH,"ANIMAL_CONFIRMED, LARGE_ANIMAL, WOLF_PRESENT",UNKNOWN_SOURCE
93,REVEAL,RESPONSE,Several Wolves Circle the Camp,More than one pair of eyes moves around the camp outside the firelight.,ANIMAL_LISTENING,"ANIMAL_CONFIRMED, LARGE_ANIMAL, WOLF_PACK",UNKNOWN_SOURCE
94,REVEAL,RESPONSE,An Injured Animal Is Nearby,You find an injured animal struggling to move near the edge of camp.,ANIMAL_SEARCH,"ANIMAL_CONFIRMED, INJURED_ANIMAL",UNKNOWN_SOURCE
95,REVEAL,RESPONSE,The Animal Retreats from Your Noise,The animal moves farther away after hearing your attempt to scare it.,ANIMAL_SCARE_ATTEMPT,"ANIMAL_CONFIRMED, ANIMAL_RETREATING",UNKNOWN_SOURCE
96,REVEAL,RESPONSE,The Embers Can Still Be Saved,"Beneath the ash, enough heat remains to rebuild the fire.",FIRE_PROTECTED,EMBERS_USABLE,-
97,REVEAL,RESPONSE,The Firewood Is Too Wet,Most of the exposed firewood is soaked and difficult to use.,FIRE_REBUILD_ATTEMPT,FIREWOOD_WET,-
98,REVEAL,RESPONSE,A Shelter Rope Has Snapped,One of the shelter ropes has broken and part of the cover is collapsing.,STORM_INSPECTION,SHELTER_DAMAGED,-
99,REVEAL,RESPONSE,Water Is Reaching the Cargo,Rainwater is beginning to soak through the protection around your supplies.,"CARGO_PRESENT, STORM_INSPECTION",CARGO_WET_RISK,-
100,REVEAL,RESPONSE,The Ground Is Beginning to Flood,Water collects around the campsite faster than it can drain away.,STORM_INSPECTION,FLOODING_RISK,-
101,REVEAL,RESPONSE,The Shelter Holds for Now,The reinforced shelter bends in the wind but remains stable.,SHELTER_SECURE_ATTEMPT,SHELTER_STABLE,-
102,REVEAL,RESPONSE,The Cargo Cover Is Tearing,A section of the cargo cover tears and exposes goods to the rain.,CARGO_RAIN_PROTECTION,"CARGO_COVER_TORN, CARGO_WET_RISK",-
103,RESPONSE,RESOLUTION,Help the Wounded Traveller,You approach the wounded traveller and help with their immediate injuries.,WOUNDED_TRAVELLER,TRAVELLER_HELPED,-
104,RESPONSE,RESOLUTION,Question the Wounded Traveller,You ask what happened before deciding how far you are willing to help.,WOUNDED_TRAVELLER,TRAVELLER_QUESTIONED,-
105,RESPONSE,RESOLUTION,Invite the Traveller to the Fire,You allow the traveller to approach and warm themselves beside the fire.,TRAVELLER_PRESENT,TRAVELLER_INVITED,-
106,RESPONSE,RESOLUTION,Question the Traveller,"You ask who they are, where they came from, and why they are travelling at night.",TRAVELLER_PRESENT,TRAVELLER_QUESTIONED,-
107,RESPONSE,RESOLUTION,Send the Traveller Away,You decide not to risk sharing the camp and tell the traveller to continue on.,TRAVELLER_PRESENT,TRAVELLER_SENT_AWAY,-
108,RESPONSE,RESOLUTION,Help the Lost Merchant Find the Road,You give the merchant directions toward the safest route you know.,MERCHANT_PRESENT,MERCHANT_DIRECTED,-
109,RESPONSE,RESOLUTION,Question the Suspicious Stranger,You keep your distance and demand a clear explanation for their presence.,SUSPICIOUS_STRANGER,STRANGER_QUESTIONED,-
110,RESPONSE,RESOLUTION,Warn the Suspicious Stranger Away,You make it clear that the stranger is not welcome near your camp.,SUSPICIOUS_STRANGER,STRANGER_WARNED,-
111,RESPONSE,RESOLUTION,Confront the Armed Stranger,You take a defensive position and demand that the armed stranger stop approaching.,ARMED_STRANGER,ARMED_CONFRONTATION,-
112,RESPONSE,RESOLUTION,Stay Hidden and Observe the Strangers,You remain concealed and watch the people outside your camp for a little longer.,MULTIPLE_PEOPLE,STRANGERS_OBSERVED,-
113,RESPONSE,RESOLUTION,Approach the Person Calling for Help,You move toward the weak voice while watching carefully for danger.,"DISTRESS_CONFIRMED, VOICE_LOCATED",DISTRESS_APPROACHED,-
114,RESPONSE,RESOLUTION,Search the Abandoned Belongings,You inspect the abandoned belongings for clues about the missing owner.,ABANDONED_BELONGINGS,BELONGINGS_SEARCHED,-
115,RESPONSE,RESOLUTION,Follow the Human Footprints,You follow the human tracks far enough to learn where they lead.,HUMAN_TRACKS,HUMAN_TRACKS_FOLLOWED,-
116,RESPONSE,RESOLUTION,Follow the Blood Trail,"You follow the blood trail carefully, unsure what you will find.",BLOOD_TRAIL,BLOOD_TRAIL_FOLLOWED,-
117,RESPONSE,RESOLUTION,Challenge the Hidden Person,You reveal yourself and demand that the hidden person identify themselves.,HIDDEN_PERSON,HIDDEN_PERSON_CONFRONTED,-
118,RESPONSE,RESOLUTION,Answer the Stranger Who Knows Your Name,You ask how the stranger knows who you are.,STRANGER_KNOWS_NAME,NAME_MYSTERY_CHALLENGED,-
119,RESPONSE,RESOLUTION,Call Again After No Answer,You call out once more and demand that whoever is nearby reveal themselves.,NO_ANSWER,SECOND_CALL,-
120,RESPONSE,RESOLUTION,Follow the Returned Light Signal,You move toward the direction from which the signal was returned.,LIGHT_SIGNAL_RETURNED,LIGHT_SIGNAL_FOLLOWED,-
121,RESPONSE,RESOLUTION,Search Beyond the Extinguished Lantern,You search the area beyond the lantern for whoever carried it.,LANTERN_FOUND,LANTERN_TRAIL_SEARCHED,-
122,RESPONSE,RESOLUTION,Follow Where the Light Vanished,You continue toward the place where the strange light disappeared.,LIGHT_VANISHED,VANISHED_LIGHT_FOLLOWED,-
123,RESPONSE,RESOLUTION,Block the Thief's Escape,You move between the thief and the easiest route away from camp.,THIEF_PRESENT,THIEF_BLOCKED,-
124,RESPONSE,RESOLUTION,Chase the Thief,You pursue the thief before they can disappear with your goods.,"PERSON_FLEEING, THIEF_PRESENT",THIEF_CHASED,-
125,RESPONSE,RESOLUTION,Demand the Goods Back,You confront the thief and demand the return of anything taken.,THIEF_PRESENT,THIEF_CONFRONTED,-
126,RESPONSE,RESOLUTION,Let the Thief Flee,You decide that your safety is worth more than the stolen goods.,THIEF_PRESENT,THIEF_ALLOWED_ESCAPE,-
127,RESPONSE,RESOLUTION,Search for the Missing Goods,You search around the camp for anything dropped or hidden.,CARGO_MISSING,MISSING_GOODS_SEARCHED,-
128,RESPONSE,RESOLUTION,Repair the Cut Cargo Bag,You secure the damaged bag before more goods can spill out.,CARGO_DAMAGED,CARGO_REPAIRED,-
129,RESPONSE,RESOLUTION,Secure the Loose Cargo,You tighten every strap and return shifted goods to safe positions.,CARGO_LOOSE,CARGO_FULLY_SECURED,-
130,RESPONSE,RESOLUTION,Watch for the Cargo Intruder,You stay near the supplies and wait for the intruder to make another move.,CARGO_INTRUSION_POSSIBLE,CARGO_AMBUSH_WAIT,-
131,RESPONSE,RESOLUTION,Confront the Cargo Watcher,You call out the stranger who has been staring at your supplies.,"SUSPICIOUS_STRANGER, THEFT_THREAT",CARGO_WATCHER_CONFRONTED,-
132,RESPONSE,RESOLUTION,Drive the Animal Away,You advance while making noise to force the animal away from camp.,ANIMAL_CONFIRMED,ANIMAL_SCARED,-
133,RESPONSE,RESOLUTION,Stay Still and Observe the Animal,You avoid sudden movement and watch the animal's behavior.,ANIMAL_CONFIRMED,ANIMAL_OBSERVED,-
134,RESPONSE,RESOLUTION,Offer Food Away from Camp,You place food away from the cargo to draw the animal away.,ANIMAL_CONFIRMED,ANIMAL_FED,-
135,RESPONSE,RESOLUTION,Retreat from the Animal,You slowly give the animal space and move back toward safer ground.,ANIMAL_CONFIRMED,ANIMAL_AVOIDED,-
136,RESPONSE,RESOLUTION,Protect the Cargo from the Animal,You position yourself between the animal and your supplies.,"ANIMAL_CONFIRMED, CARGO_PRESENT",ANIMAL_CARGO_DEFENDED,-
137,RESPONSE,RESOLUTION,Follow the Animal Tracks,You follow the trail a short distance to learn where the animal went.,ANIMAL_TRACKS,ANIMAL_TRACKS_FOLLOWED,-
138,RESPONSE,RESOLUTION,Approach the Injured Animal,You move closer carefully to see whether the animal can be helped.,INJURED_ANIMAL,INJURED_ANIMAL_APPROACHED,-
139,RESPONSE,RESOLUTION,Leave the Injured Animal Alone,You decide not to risk approaching and return toward camp.,INJURED_ANIMAL,INJURED_ANIMAL_LEFT,-
140,RESPONSE,RESOLUTION,Use the Fire to Keep the Animal Back,You strengthen the fire and use the flames to discourage the animal from approaching.,"CAMP, LARGE_ANIMAL",ANIMAL_HELD_BY_FIRE,-
141,RESPONSE,RESOLUTION,Chase the Animal from the Cargo,You rush toward the bags and force the animal away from the supplies.,ANIMAL_IN_CARGO,"ANIMAL_SCARED, CARGO_DEFENDED",-
142,RESPONSE,RESOLUTION,Wait for the Retreating Animal to Leave,You remain alert and watch until the retreating animal is farther from camp.,ANIMAL_RETREATING,ANIMAL_RETREAT_CONFIRMED,-
143,RESPONSE,RESOLUTION,Restore the Fire from the Embers,You feed the remaining heat with dry tinder until the flames return.,EMBERS_USABLE,FIRE_RESTORED,-
144,RESPONSE,RESOLUTION,Use Reserved Dry Fuel,You use protected dry fuel from your supplies to rebuild the fire.,FIREWOOD_WET,FIRE_RESTORED,-
145,RESPONSE,RESOLUTION,Give Up on the Fire,You decide not to waste more fuel and prepare to rest without the campfire.,FIREWOOD_WET,FIRE_ABANDONED,-
146,RESPONSE,RESOLUTION,Repair the Shelter Rope,You replace the failed rope and pull the shelter back into position.,SHELTER_DAMAGED,SHELTER_REPAIRED,-
147,RESPONSE,RESOLUTION,Cover the Exposed Cargo,You move quickly to protect the goods from further rain.,CARGO_WET_RISK,CARGO_RAIN_SECURED,-
148,RESPONSE,RESOLUTION,Move the Camp to Higher Ground,You relocate the essential parts of camp before the water rises farther.,FLOODING_RISK,CAMP_MOVED_HIGHER,-
149,RESPONSE,RESOLUTION,Break Camp Before Flooding Worsens,You decide the campsite is no longer safe and begin packing immediately.,FLOODING_RISK,CAMP_ABANDONED,-
150,RESPONSE,RESOLUTION,Wait for the Storm to Ease,You remain under cover and avoid unnecessary movement while the storm weakens.,STORM_ACTIVE,STORM_WAITED_OUT,-
151,RESPONSE,RESOLUTION,Patch the Torn Cargo Cover,You temporarily patch the tear to keep the rain away from the goods.,CARGO_COVER_TORN,CARGO_COVER_REPAIRED,-
152,RESPONSE,RESOLUTION,Trust the Reinforced Shelter,You decide the shelter is stable enough and return to rest beneath it.,SHELTER_STABLE,SHELTER_TRUSTED,-
153,RESPONSE,RESOLUTION,Return to Rest After Finding Nothing,You decide that further searching is unlikely to help and return to the fire.,NO_SOURCE_FOUND,MYSTERY_ABANDONED,-
154,RESPONSE,RESOLUTION,Wait for the Disturbance to Return,You remain awake for a while longer to see whether anything happens again.,NO_SOURCE_FOUND,MYSTERY_WAITED,-
155,RESPONSE,RESOLUTION,Follow the Trail of Broken Branches,You follow the rough trail into the darkness for a short distance.,TRAIL_FOUND,UNKNOWN_TRAIL_FOLLOWED,-
